Patient.ID,Fraction of genome altered
AAPC-STID0000002909-Tumor-SM-2XTZ4,0.211602271486059
AAPC-STID0000007540-Tumor-SM-2XU15,0.0097207998797553
AAPC-STID0000021532-Tumor-SM-3RVW5,0.0171722908448832
AAPC-STID0000021536-Tumor-SM-3RVW6,0.0155989340376843
AAPC-STID0000021584-Tumor-SM-2XTZ6,0.0672008137594733
AAPC-STID0000021600-Tumor-SM-3RVWL,0.0134231615478809
AAPC-STID0000021606-Tumor-SM-2XTZX,0.0631772735049106
AAPC-STID0000021608-Tumor-SM-3RVWO,0.022376803241803
P06-4428,0.0382722281029901
PR-3036,0.0869034801364963
PR-09-2744,0.0468398584498669
PR-01-2382,0.0811504581316397
P07-5036,0.0471244963156602
PR-03-870,0.0105035856294105
PR-2858,0.0139155687424981
P04-1421,0.026989714585882
PR-02-2072,0.103932844483823
P04-47,0.037144427731007
PR-3127,0.0362768552030101
PR-2761,0.0446659434709734
P03-2345,0.0369162083635319
P04-1790,0.142990119952317
P04-2641,0.0501012013578924
PR-03-1026,0.0495372385812675
PR-06-1999,0.00958173232390881
PR-3026,0.0162608993333959
P07-718,0.00388029533101615
P07-360,0.11803019183854
PR-2740,0.00986798113638415
PR-02-1736,0.0543967540045107
P03-595,0.00985871165718313
P04-2666,0.00594836688411594
PR-09-2767,0.207182017462719
P05-3829,0.00503326836968778
PR-04-3347,0.106916216126131
PR-1043,0.0134219449190287
PR-2661,0.0128840935929348
P00-000450,0.124413337045271
P03-871,0.146623547809672
P05-620,0.288913260548819
P06-3676,0.00480792876740038
PR-01-1934,0.134402048465006
PR-00-160,0.0801519257518031
PR-00-1823,0.168032931003952
PR-06-1749,0.264055350338442
PR-09-5700,0.0646354784856163
PR-3051,0.111979328628284
PR-06-1651,0.0608879399864329
P09-120,0.00445270567435075
PR-02-1082,0.0538856898433223
PR-04-639,0.0784647096038828
P01-28,0.086889803366994
P03-3391,0.00739345364520899
P09-2497,0.0261982439650896
P05-3436,0.0489318750946692
P05-3852,0.0939638350042531
P09-1580,0.0521011706137139
PR-2872,0.0143623807319901
P02-2035,0.027870817769748
P04-1243,0.573558686582577
PR-05-3440,0.0137001907902984
P06-1696,0.0136996768746171
PR-05-3595,0.0296968833974789
PR-09-2517,0.0714271399203456
PR-09-5630,0.0534093067716556
PR-3048,0.0122831505657929
P04-1084,0.0623985878634904
P07-144,0.302530288468146
P08-590,0.00488185826396275
PR-02-169,0.0104403350881097
PR-04-194,0.0272310935764709
PR-09-3421,0.0541857974528179
PR-2916,0.0189230555120326
PR-02-1899,0.0771486184577858
PR-04-3113,0.0163042320869188
P04-594,0.0267818933740119
P05-2212,0.0460408637068662
P06-1125,0.0592117426210581
PR-04-3222,0.222477440164204
PR-2915,0.0844790954671898
PR-09-5446,0.753817841580745
P02-1562,0.0763948294252965
PR-01-2492,0.340824881659465
PR-3023,0.0498353927286526
P03-2620,0.031028560631964
P04-2599,0.176865422090153
P05-3859,0.0521419176602317
PR-04-903,0.108579020896943
PR-09-5702,0.123997957749921
PR-2762,0.0439884620049617
P03-1334,0.0976845703907694
P03-1426,0.0720366238309616
P07-837,0.37337586294866
PR-01-2554,0.0993711544178846
PR-02-2480,0.0127121619096766
PR-0427,0.0560384202668146
PR-05-839,0.100664366999994
PR-0099,0.0143732424031729
PR-03-022,0.0617095436849532
PR-3034,0.0131667563021851
P04-2740,0.0675588737032463
P09-649,0.00755239524402037
PR-2682,0.184650933319835
P06-3939,0.259048332687687
PR-0415,0.197699877855497
PR-09-5245,0.126799124808025
P09-1372,0.0256222382846762
PR-09-3687,0.102508083679743
PR-1024,0.150656406066542
PR-02-254,0.404060121263913
P03-1906,0.0771454841585023
P08-2516,0.0375444045868636
PR-09-5094,0.102928694283073
PR-09-3566,0.0850888616901877
05-165O_ADRENAL,0.104147266074999
01-087MM_BONE,0.157980668486733
05-214BB2_BONE,0.0253709868820251
05-221MM1_BONE,0.00429852286197593
01-120A1_LIVER,0.0120228469412616
03-082H1_LIVER,0.0468970648235209
03-163S4_LIVER,0.000125932757451808
05-148E3_LIVER,0.000212388012296173
08-037F1_LIVER,0.00645955733020767
97-159H2_LIVER,0.00183122396635258
99-090A2_LIVER,0.00172698819845834
03-192B_LUNG,0.0424887913573463
05-011G4_LUNG,7.61748069256745e-05
05-116F_LUNG,0.0114584264263633
05-217L3_LUNG,0.0757136993965343
07-062F2_LUNG,0.162474991733075
11-028L1_LUNG,0.010374046941565
00-029N9_LN,0.000299635531316682
01-095N1_LN,0.00513028928753219
02-083E1_LN,0.0263823828434217
04-149E2_LN,0.00263771257793235
06-134H1_LN,0.0348173445283612
07-042H2_LN,0.0133184254979872
08-006H1_LN,0.0108259170746477
08-093J1_LN,0.171868636148208
10-013F1_LN,0.00279511936950374
12-011I7_LN,0.437631843139565
98-362B1_LN,0.189868638528121
98-372L_LN,0.00577972440923821
99-064O_LN,0.00296392582999092
99-091J_LN,0.0542731712967438
12-021H4_LIVER,0.00677033873367421
98-328K_PERITONEUM,0.0216067483742011
09-006F1_RENAL,0.000257030394563469
03-130L_RETROPERITONEAL,0.112609668647001
03-139E3_RETROPERITONEAL,0.135894333102963
11040,0.382263874827433
20870,0.257665004890588
2746,0.00769432928601713
10361,0.297065961064715
10362,0.244211919786019
10363,0.337393903850604
10680,0.263612319442831
12688,0.507206058785274
12729,0.153754930899532
20630,0.0082116036128238
20990,0.194461545697705
21010,0.0673763462553038
21011,0.216819767770637
21016,0.308079472179081
