genes
A1CF
ABI1
ABL1
ABL2
ACKR3
ACSL3
ACSL6
ACVR1
ACVR2A
AFF1
AFF3
AFF4
AKAP9
AKT1
AKT2
AKT3
ALDH2
ALK
AMER1
ANK1
APC
APOBEC3B
AR
ARAF
ARHGAP26
ARHGAP5
ARHGEF10
ARHGEF10L
ARHGEF12
ARID1A
ARID1B
ARID2
ARNT
ASPSCR1
ASXL1
ASXL2
ATF1
ATIC
ATM
ATP1A1
ATP2B3
ATR
ATRX
AXIN1
AXIN2
B2M
BAP1
BARD1
BAX
BAZ1A
BCL10
BCL11A
BCL11B
BCL2
BCL2L12
BCL3
BCL6
BCL7A
BCL9
BCL9L
BCLAF1
BCOR
BCORL1
BCR
BIRC3
BIRC6
BLM
BMP5
BMPR1A
BRAF
BRCA1
BRCA2
BRD3
BRD4
BRIP1
BTG1
BTK
BUB1B
C15orf65
C2orf44
CACNA1D
CALR
CAMTA1
CANT1
CARD11
CARS
CASC5
CASP3
CASP8
CASP9
CBFA2T3
CBFB
CBL
CBLB
CBLC
CCDC6
CCNB1IP1
CCNC
CCND1
CCND2
CCND3
CCNE1
CCR4
CCR7
CD209
CD274
CD28
CD74
CD79A
CD79B
CDC73
CDH1
CDH10
CDH11
CDH17
CDK12
CDK4
CDK6
CDKN1A
CDKN1B
CDKN2A
CDKN2C
CDX2
CEBPA
CEP89
CHCHD7
CHD2
CHD4
CHEK2
CHIC2
CHST11
CIC
CIITA
CLIP1
CLP1
CLTC
CLTCL1
CNBD1
CNBP
CNOT3
CNTNAP2
CNTRL
COL1A1
COL2A1
COL3A1
COX6C
CPEB3
CREB1
CREB3L1
CREB3L2
CREBBP
CRLF2
CRNKL1
CRTC1
CRTC3
CSF1R
CSF3R
CSMD3
CTCF
CTNNA2
CTNNB1
CTNND1
CTNND2
CUL3
CUX1
CXCR4
CYLD
CYP2C8
CYSLTR2
DAXX
DCAF12L2
DCC
DCTN1
DDB2
DDIT3
DDR2
DDX10
DDX3X
DDX5
DDX6
DEK
DGCR8
DICER1
DNAJB1
DNM2
DNMT3A
DROSHA
DUX4L1
EBF1
ECT2L
EED
EGFR
EIF1AX
EIF3E
EIF4A2
ELF3
ELF4
ELK4
ELL
ELN
EML4
EP300
EPAS1
EPHA3
EPHA7
EPS15
ERBB2
ERBB3
ERBB4
ERC1
ERCC2
ERCC3
ERCC4
ERCC5
ERG
ESR1
ETNK1
ETV1
ETV4
ETV5
ETV6
EWSR1
EXT1
EXT2
EZH2
EZR
FAM131B
FAM135B
FAM46C
FAM47C
FANCA
FANCC
FANCD2
FANCE
FANCF
FANCG
FAS
FAT1
FAT3
FAT4
FBLN2
FBXO11
FBXW7
FCGR2B
FCRL4
FEN1
FES
FEV
FGFR1
FGFR1OP
FGFR2
FGFR3
FGFR4
FH
FHIT
FIP1L1
FKBP9
FLCN
FLI1
FLNA
FLT3
FLT4
FNBP1
FOXA1
FOXL2
FOXO1
FOXO3
FOXO4
FOXP1
FOXR1
FSTL3
FUBP1
FUS
GAS7
GATA1
GATA2
GATA3
GLI1
GMPS
GNA11
GNAQ
GNAS
GOLGA5
GOPC
GPC3
GPC5
GPHN
GRIN2A
GRM3
H3F3A
H3F3B
HERPUD1
HEY1
HIF1A
HIP1
HIST1H3B
HIST1H4I
HLA-A
HLF
HMGA1
HMGA2
HMGN2P46
HNF1A
HNRNPA2B1
HOOK3
HOXA11
HOXA13
HOXA9
HOXC11
HOXC13
HOXD11
HOXD13
HRAS
HSP90AA1
HSP90AB1
ID3
IDH1
IDH2
IGF2BP2
IGH
IGK
IGL
IKBKB
IKZF1
IL2
IL21R
IL6ST
IL7R
IRF4
IRS4
ISX
ITGAV
ITK
JAK1
JAK2
JAK3
JAZF1
JUN
KAT6A
KAT6B
KAT7
KCNJ5
KDM5A
KDM5C
KDM6A
KDR
KDSR
KEAP1
KIAA1549
KIAA1598
KIF5B
KIT
KLF4
KLF6
KLK2
KMT2A
KMT2C
KMT2D
KNSTRN
KRAS
KTN1
LARP4B
LASP1
LATS1
LATS2
LCK
LCP1
LEF1
LEPROTL1
LHFP
LIFR
LMNA
LMO1
LMO2
LPP
LRIG3
LRP1B
LSM14A
LYL1
LZTR1
MACC1
MAF
MAFB
MALAT1
MALT1
MAML2
MAP2K1
MAP2K2
MAP2K4
MAP3K1
MAP3K13
MAPK1
MAX
MB21D2
MDM2
MDM4
MDS2
MECOM
MED12
MEN1
MET
MGMT
MITF
MKL1
MLF1
MLH1
MLLT1
MLLT10
MLLT11
MLLT3
MLLT4
MLLT6
MN1
MNX1
MPL
MSH2
MSH6
MSI2
MSN
MTCP1
MTOR
MUC1
MUC16
MUC4
MUTYH
MYB
MYC
MYCL
MYCN
MYD88
MYH11
MYH9
MYO5A
MYOD1
N4BP2
NAB2
NACA
NBEA
NBN
NCKIPSD
NCOA1
NCOA2
NCOA4
NCOR1
NCOR2
NDRG1
NF1
NF2
NFATC2
NFE2L2
NFIB
NFKB2
NFKBIE
NIN
NKX2-1
NONO
NOTCH1
NOTCH2
NPM1
NR4A3
NRAS
NRG1
NSD1
NT5C2
NTHL1
NTRK1
NTRK3
NUMA1
NUP214
NUP98
NUTM1
